Aktual,Prediksi
34.0,33.184006349206335
26.0,33.9676896825397
25.0,34.80978333333336
23.0,31.83035873015875
24.0,29.461143650793662
25.0,24.186995238095253
27.0,24.118848412698412
25.0,25.387830952380963
37.0,29.982642063492055
28.0,26.592657142857142
26.0,31.874058730158715
24.0,30.809373015873014
22.0,27.99303571428572
21.0,25.923542857142863
24.0,23.442119264069287
23.0,22.614053207903215
22.0,23.433122832722837
23.0,23.192017460317466
22.0,23.111161111111112
22.0,22.990841303141302
20.0,22.36930955710956
21.0,22.403378604728598
19.0,21.27347377067377
24.0,21.182753102453102
30.0,20.23959444444444
23.0,22.389777777777784
21.0,29.033016666666654
22.0,23.53180476190477
21.0,21.544226190476202
21.0,21.61978253968253
23.0,21.848254112554116
22.0,22.42173564213565
22.0,23.019946103896096
21.0,23.30152652464496
23.0,23.41181746031746
22.0,22.956873088023098
22.0,22.949824675324674
25.0,23.01218023088023
25.0,23.212265079365086
20.0,25.036270634920626
21.0,23.85009444444445
22.0,21.553716666666666
21.0,22.83265000000002
23.0,21.89297467532469
23.0,22.616421428571435
23.0,23.935579254079247
27.0,23.62734213564214
23.0,22.814416483516478
22.0,26.606820634920638
27.0,22.999696031746033
21.0,23.466750793650807
23.0,25.41151428571428
25.0,21.999287301587312
30.0,23.013209920634925
25.0,24.445457936507925
24.0,28.779104761904772
27.0,25.923759523809526
27.0,26.46430555555556
24.0,26.515794444444442
22.0,27.019249206349187
22.0,25.714630952380944
23.0,23.12634466089468
24.0,23.507904518872945
24.0,24.194387707906113
22.0,24.087696825396826
24.0,24.03818922305764
24.0,23.377632080200502
25.0,23.21981666666667
27.0,23.428339682539697
24.0,24.47128095238095
24.0,26.986624603174604
22.0,25.490626190476192
24.0,24.03045079365079
22.0,23.407972039072046
23.0,24.342536324786334
25.0,23.73161840498684
23.0,23.712041637310058
23.0,24.611420634920623
25.0,23.49226727716727
27.0,23.672568253968254
23.0,24.343333333333344
24.0,26.957515873015858
23.0,23.297371428571427
25.0,24.203946031746046
23.0,22.887221461871462
30.0,24.479654761904754
23.0,23.643446825396833
23.0,27.610261904761916
24.0,23.46167698412699
24.0,22.545211111111115
23.0,22.863688095238093
23.0,24.560247159565574
24.0,23.538544201412613
26.0,23.65035418470418
26.0,23.775291269841258
26.0,24.191084920634932
28.0,25.852057142857145
28.0,25.983371428571427
28.0,27.671333333333344
26.0,27.92464126984128
25.0,28.59605684955142
25.0,26.22170952380951
24.0,26.270290476190464
25.0,26.16441428571429
26.0,25.441354761904766
28.0,25.420127777777765
28.0,26.011895238095235
27.0,27.902140476190475
26.0,28.059677777777782
27.0,28.032237301587323
29.0,26.70374047619047
28.0,28.264596825396836
24.0,29.095469047619037
24.0,28.826609379509385
25.0,25.975097619047613
31.0,24.77560317460317
30.0,24.592315079365086
27.0,28.815771428571434
26.0,31.20299206349207
28.0,29.768246681096695
28.0,28.12844761904761
28.0,28.544415476190476
27.0,28.397438095238098
24.0,28.48207777777779
24.0,28.140055453149007
25.0,26.67632698412699
29.0,24.93590873015873
27.0,25.20650873015872
30.0,29.277066320346343
28.0,28.277572077922084
28.0,29.378882151345387
27.0,28.3113896825397
26.0,27.83425402001381
29.0,27.900944444444455
33.0,28.04561904761904
29.0,29.82754166666668
28.0,31.08839080298786
28.0,30.29968413808414
29.0,29.18330555555555
30.0,28.00071473429952
32.0,29.58724886128366
34.0,29.824247922796165
32.0,31.831479365079364
34.0,31.741911782661777
33.0,31.063002064602067
35.0,32.55617597402598
31.0,34.02913685171039
34.0,34.78621190476193
35.0,32.30749010989011
30.0,33.82660238095237
31.0,33.05385634920633
34.0,32.58261031746031
28.0,33.46327857142855
31.0,33.62901428571428
30.0,31.116859745837942
38.0,31.263085714285697
33.0,31.064876118326115
32.0,33.52848888888888
34.0,32.51856410256409
30.0,33.7265672161172
35.0,32.40134025974025
33.0,31.876309063187254
34.0,33.707520634920634
34.0,34.41213968253965
33.0,34.74356825396826
35.0,35.29872380952383
34.0,35.492755772005786
35.0,34.90666852559207
37.0,34.932552597402626
34.0,35.951795238095265
35.0,37.77827828282828
33.0,35.696636219336206
32.0,36.53611666666669
35.0,35.70620786435787
38.0,33.78492164502163
34.0,35.174323350041774
34.0,36.98045367965367
36.0,35.04188405483406
34.0,35.219098412698415
34.0,36.26037380952383
33.0,34.375707647907625
34.0,35.15775815295816
32.0,36.741866666666674
32.0,35.9303261904762
32.0,33.3819961122211
31.0,33.153398054940226
33.0,32.71121031746033
36.0,32.415390404040416
33.0,33.55893412698413
35.0,35.277594444444446
35.0,34.99123174603174
35.0,36.47530238095241
32.0,37.145287301587295
33.0,37.112502380952414
36.0,33.83134826839826
36.0,34.807792857142864
35.0,35.411314285714305
35.0,37.0509474747475
37.0,37.24808751803755
34.0,37.89766031746033
33.0,38.355839393939405
33.0,35.57710526695526
35.0,36.07691111111112
39.0,35.60636700083542
33.0,36.12327731829575
35.0,37.93052748917753
34.0,36.663165440115435
35.0,36.24409285714287
36.0,34.84007352092352
36.0,36.05072590187592
37.0,37.41867575757577
36.0,37.9482378066378
35.0,37.45487337662339
34.0,37.58425606060607
34.0,37.96740952380949
32.0,35.70358809523811
34.0,34.80211111111114
35.0,33.49059913419913
36.0,35.463146825396834
35.0,35.26433015873016
35.0,37.19588015873017
34.0,37.241042857142865
33.0,37.29814761904765
34.0,35.43042857142861
39.0,35.70662142857143
34.0,35.63997380952382
34.0,36.784592857142854
35.0,35.58617698412699
36.0,35.70307063492065
39.0,37.06777431457434
38.0,37.40995432900436
40.0,37.983017821067826
38.0,38.589292568542575
38.0,39.47871161616159
39.0,38.95727344877348
37.0,38.408715584415624
37.0,37.52324307359309
35.0,38.74373225108227
35.0,38.76280844155848
35.0,38.91183066378067
36.0,37.97772272727273
36.0,38.37031875901874
38.0,37.8059235209235
37.0,37.76412272727273
37.0,39.26647922077918
38.0,37.581207792207785
38.0,37.744320634920626
37.0,37.71567301587304
36.0,37.646088095238106
38.0,37.62527698412698
39.0,38.13069523809526
37.0,38.54581904761904
38.0,38.791412554112554
39.0,39.058411904761904
39.0,38.958467460317465
41.0,40.025090476190485
38.0,38.16804913419914
39.0,41.65247193362193
40.0,38.71969761904765
39.0,39.12603225108224
38.0,43.454560317460306
42.0,41.212112409812434
40.0,40.962317965367944
39.0,40.398707647907635
40.0,41.7053373015873
42.0,41.366631457431474
40.0,41.87119098124098
39.0,41.785860317460326
39.0,41.992718253968235
45.0,40.692963997114006
40.0,39.743062914862946
40.0,42.27361240981241
40.0,42.14775476190476
41.0,42.28665714285713
40.0,41.44100000000002
41.0,42.55748571428571
39.0,42.852888095238086
38.0,43.1414365079365
39.0,40.24953809523811
38.0,38.91118333333332
41.0,40.124161616161636
39.0,40.48978095238097
44.0,41.77571082251081
38.0,41.43187380952384
38.0,43.39369812409808
39.0,40.91456190476191
41.0,42.022745238095204
45.0,40.14557380952382
50.0,43.865384126984125
45.0,43.78425000000002
41.0,48.3395873015873
40.0,43.60203809523808
41.0,43.56304841269841
41.0,42.75176587301587
45.0,42.715412698412706
44.0,43.20495158730158
41.0,44.170629365079364
40.0,44.08838095238091
42.0,43.114311904761905
42.0,42.57207142857144
44.0,43.67227380952379
39.0,45.391503968253964
40.0,45.15765317460316
40.0,42.67647518037519
39.0,43.5447616161616
39.0,44.1381857142857
39.0,41.4586507936508
42.0,40.21400209235209
41.0,39.85468463203463
45.0,44.18859812409813
44.0,42.5162380952381
40.0,43.635125396825394
43.0,44.97186746031743
40.0,44.69329523809524
42.0,42.1990753968254
42.0,43.193327777777796
45.0,42.73641507936507
42.0,42.87394523809521
44.0,44.657322727272735
42.0,43.864298412698396
42.0,44.46429603174601
18.0,44.24661190476191
51.0,44.326723809523806
15.0,26.018228571428565
17.0,48.56045
14.0,26.129648412698412
3.0,16.347038888888896
10.0,13.089992857142851
9.0,13.07454523809523
7.0,15.325987698412698
27.0,13.262457251082251
26.0,16.117234523809522
32.0,27.350261111111124
9.0,25.11631031746032
9.0,31.943812698412703
12.0,19.97653492063491
13.0,15.54302857142857
22.0,13.328491269841269
25.0,14.124119841269843
4.0,16.72264365079365
15.0,23.71392460317461
21.0,27.276485317460313
12.0,13.963789682539684
3.0,15.491751443001437
12.0,27.947253174603176
10.0,12.562819047619042
14.0,13.09573737373737
8.0,12.28687431457431
17.0,13.858786507936513
13.0,13.209798412698419
21.0,14.200821825396812
26.0,14.132004761904758
11.0,17.13830555555555
24.0,23.28720873015874
18.0,26.750928571428574
3.0,20.884149999999995
16.0,17.437278571428564
28.0,15.448159656084655
25.0,21.716902777777776
22.0,25.453167460317438
34.0,25.582138888888895
24.0,24.555624603174603
22.0,30.335545238095236
15.0,27.23664444444445
13.0,22.08741587301588
14.0,18.397061904761898
15.0,16.55516468253968
13.0,17.697351587301593
13.0,14.467946459096458
22.0,15.596782967032974
24.0,17.96035
22.0,16.182998412698414
14.0,23.171707142857155
17.0,21.389835137085115
19.0,15.881642857142857
15.0,15.710721428571425
15.0,17.0663992063492
26.0,17.85357380952381
25.0,16.02271168831169
23.0,21.56659047619047
21.0,26.025957142857138
27.0,24.287678787878786
24.0,22.194601587301573
30.0,27.5836119047619
24.0,24.109010317460314
31.0,28.91105079365079
39.5,26.07032857142859
48.0,28.474298412698403
42.0,31.85432619047618
18.0,46.86500144300143
28.0,41.31888629148629
29.0,25.428678571428588
24.0,26.42854285714285
24.0,29.58072539682541
17.0,26.63762619047618
21.0,25.580011904761903
16.0,18.891131746031746
21.0,20.12747142857142
25.0,19.03491507936507
25.0,19.535624603174597
17.0,25.575233333333347
19.0,25.824655555555566
20.0,18.942996825396822
16.0,18.635105026455008
23.0,19.373085714285725
47.0,19.01042619047619
53.0,19.76411111111111
22.0,45.441947883597884
17.0,50.31711825396821
16.0,27.4093023809524
30.0,18.017171428571434
16.0,16.997253174603177
19.0,27.705295238095225
37.0,20.940869047619046
19.0,18.836732539682522
28.0,30.191160317460316
27.0,23.22954206349208
25.0,27.66243015873015
24.0,29.87287545787546
19.0,26.039247619047615
21.0,24.857572222222224
17.0,20.774507936507923
19.0,21.341414285714283
26.0,18.53459682539684
35.0,18.077620634920642
22.0,25.727966666666667
22.33333333333333,33.10084365079366
22.666666666666668,25.373661904761907
23.0,22.743586724386738
23.33333333333333,21.837592929292928
23.666666666666668,22.555205627705632
24.0,22.85410000000001
24.33333333333333,23.35270476190477
24.666666666666668,23.27543492063493
25.0,23.944370175438596
25.0,24.700964285714285
26.0,25.971736507936512
26.0,25.37801904761905
25.0,25.955338095238105
33.0,27.296400000000013
32.0,26.041566666666668
27.0,30.864197619047616
31.0,31.62576428571428
28.0,30.801720634920635
32.0,31.40256746031746
32.0,29.043675396825407
32.0,31.18256587301588
16.0,31.57803571428572
18.0,33.24270047730047
19.0,22.20849603174603
20.0,18.51383412698413
21.0,18.66943253968253
20.0,19.60067936507936
21.0,21.247413492063476
21.0,20.999745238095226
21.0,20.250542063492063
20.0,21.486803868353864
24.0,21.26594751914753
20.0,20.651348168498167
23.0,23.59804206349206
21.0,21.024892279942282
21.0,22.223107936507937
20.0,21.52911832611832
19.0,22.687891819291817
19.0,20.34785769230768
19.0,20.091227605727596
19.0,19.72355769230769
21.0,21.172669047619046
21.0,20.77616507936507
21.0,20.95245000000001
21.0,20.509605383505388
27.0,21.39257301587301
21.0,21.25963809523809
26.0,27.773234920634927
29.0,21.910228571428576
26.0,24.862034126984124
21.0,29.127911904761927
21.0,26.14047777777778
21.0,22.88046190476189
21.0,21.998034523809523
20.0,21.696157611832607
20.0,22.45337222222223
26.0,22.192577777777778
26.0,21.549817460317456
21.0,24.05980476190475
