Polutan,Horizon,MAE,RMSE,R2
pm25,1,12.508548556574672,16.186509690296273,0.5657777767917371
pm10,1,9.53840874231885,12.116907536646037,0.46152526336116695
so2,1,3.174643461243415,5.1300522547303045,0.5445489499262401
co,1,3.4554751903506538,4.6985584471638475,0.5460172792009095
o3,1,10.70905715259938,14.75442388027187,0.030587239499787255
no2,1,5.28935051834274,7.422223827687859,0.7282252823373856
pm25,2,12.308294036642796,16.222546589370804,0.5644724149300702
pm10,2,9.934336618114916,12.479711258081526,0.42921751258285745
so2,2,3.493861751592324,5.480942827216553,0.48040849944198916
co,2,3.4608915539231133,4.629291979919202,0.559891778778312
o3,2,11.500878724861824,15.474198356173687,-0.06499313395744855
no2,2,6.175061768840749,8.71038148760775,0.6262608673647256
pm25,3,12.644434039521103,16.636327629917268,0.542554444295686
pm10,3,10.41016774211136,13.086185952465327,0.3731246265202627
so2,3,3.702775312208982,5.727873345081303,0.4333262880778239
co,3,3.679635946383745,4.856210924011042,0.5162515493932437
o3,3,11.566786506700861,15.49476046273498,-0.06714135262405829
no2,3,6.782669587113789,9.485821080997292,0.5569435857791984
pm25,4,12.117965498918286,15.838068831130633,0.585124331322266
pm10,4,11.15827803139064,13.862027566967331,0.2967493792519742
so2,4,3.8083927687229417,5.893467231753644,0.4008459695428229
co,4,3.7419225845146062,4.954036516029912,0.4972070657095726
o3,4,12.821868902163747,17.016645804865178,-0.28605445182992817
no2,4,6.992492677965613,9.616696962121557,0.5449044608872926
pm25,5,12.020215371037043,15.579975143289113,0.5962566983706734
pm10,5,11.984335380506801,15.095425753356123,0.16501500972945982
so2,5,3.8307340390021536,6.023181205008756,0.3747129379610745
co,5,3.742975835741163,4.855631667907501,0.5168239174700378
o3,5,13.194138587232217,17.457761345909844,-0.35294445662344076
no2,5,7.185823353233286,10.06285198532011,0.5013695365591992
pm25,6,11.992238896080732,15.487612008973953,0.6015365350667238
pm10,6,11.564123975447917,14.38154609557837,0.2431857235182664
so2,6,3.8662452552306816,6.112918596948203,0.356640538882981
co,6,3.801300729032827,4.916405104359407,0.5053969815303766
o3,6,13.30526125497662,17.71267134031355,-0.39115631945335605
no2,6,7.062569976829013,9.820148665888384,0.5255545389623926
pm25,7,12.113954128974315,15.833420640920982,0.5841572283342904
pm10,7,11.418241995947591,14.166976071674817,0.2651292694917271
so2,7,3.9995927736195562,6.401886496128629,0.2952723448445538
co,7,3.7216995350386024,4.9012984928294285,0.5091473276670375
o3,7,13.017444834134013,17.421602440895956,-0.34380154722027534
no2,7,7.314412557912363,10.18045880459522,0.49067654227978164
