Aktual,Prediksi
33.0,33.26845079365078
28.0,33.69669603174603
29.0,31.063030158730157
27.0,30.284735714285706
32.0,27.3302113756614
38.0,24.980700937950942
25.0,28.685627777777768
28.0,30.298946031746052
41.0,27.736118253968257
46.0,29.25448412698412
31.0,31.897183333333327
37.0,35.87564444444445
39.0,32.12899007936508
45.0,32.77480793650792
38.0,34.00081666666668
39.0,40.57441031746031
32.0,36.753933333333336
35.0,34.83728412698413
31.0,30.75279126984126
36.0,29.983549999999987
115.0,30.089366017316024
72.0,30.771128571428573
59.0,35.230619841269856
59.0,36.0882634920635
35.0,35.32388253968251
45.0,35.53653730158728
46.0,34.52850198412698
48.0,38.184034126984116
54.0,39.09944047619048
50.0,39.09870793650794
54.0,36.783184126984125
51.0,35.099542857142865
42.0,35.40452777777777
46.0,35.41049047619047
49.0,35.83239047619047
48.0,37.19212438672439
46.0,36.347488672438665
45.0,36.59733708513707
48.0,36.47132756132756
57.0,36.82787539682542
51.0,39.3929119047619
53.0,37.20384603174601
57.0,35.56955238095237
43.0,35.71809444444443
46.0,37.209210317460325
45.0,36.041770634920624
41.0,38.328274603174606
34.0,40.68940793650793
22.0,37.3559484126984
31.0,33.84084999999999
55.0,32.1974492063492
59.0,30.680016666666674
74.0,32.139911904761924
65.0,34.83115079365081
58.0,35.61579444444443
59.0,35.12028809523806
61.0,36.15642460317458
70.0,35.86734365079363
68.0,35.89488412698412
79.0,35.56668412698412
76.0,35.323605555555545
69.0,35.4047880952381
74.0,35.478240476190486
62.0,35.877750000000006
69.0,35.89573571428573
55.0,35.336406926406916
71.0,35.36824025974025
77.0,35.25944025974026
60.0,35.88037142857142
62.0,35.904147619047606
62.0,35.88671883116882
74.0,35.79225216450217
62.0,35.884523593073595
79.0,35.955285714285715
62.0,36.05769126984127
60.0,36.830438888888885
77.0,37.00506984126983
67.0,36.22252222222222
57.0,35.705726984126976
59.0,36.0867857142857
67.0,35.90159206349206
56.0,35.27796269841269
61.0,35.40437539682539
70.0,35.464570634920626
83.0,35.54748174603174
45.0,35.61191269841269
59.0,35.627084126984116
68.0,35.95415873015872
72.0,37.776746825396835
73.0,37.610482539682536
64.0,35.764151587301576
62.0,35.47580216450215
75.0,35.31243549783549
57.0,35.33014025974025
58.0,35.206140259740266
60.0,35.113140259740256
54.0,35.434304761904755
58.0,35.42767142857142
60.0,35.80126883116883
61.0,35.66376883116883
65.0,35.66638311688312
53.0,35.648023593073596
59.0,35.549090259740254
61.0,36.16260476190477
57.0,36.675238888888885
62.0,36.77465793650794
58.0,36.87267936507937
59.0,36.79412857142857
58.0,36.49752857142858
63.0,35.86229444444444
65.0,35.95974682539682
66.0,35.710184920634916
60.0,35.47621984126983
57.0,35.38636507936507
57.0,35.413936507936505
57.0,35.50551746031745
65.0,35.44761984126983
64.0,35.79111825396824
62.0,35.77778492063491
66.0,35.841629365079356
69.0,35.64127936507935
67.0,35.631669841269826
70.0,35.198473593073594
76.0,35.11547359307359
71.0,35.44430476190476
71.0,35.42913809523809
50.0,35.47346883116882
68.0,35.31010216450216
58.0,35.395840259740254
72.0,35.880140259740266
61.0,35.174511688311696
73.0,35.82805476190477
66.0,35.875388095238094
45.0,36.03561883116883
53.0,36.09951428571429
46.0,36.6852984126984
63.0,38.78555317460319
53.0,39.488129365079345
52.0,39.07708095238097
48.0,38.95539285714284
48.0,36.78428015873015
38.0,36.710834920634916
51.0,37.53933095238096
35.0,36.12913412698412
39.0,38.31479603174604
39.0,34.91618333333332
29.0,35.50780714285713
41.0,34.5994238095238
45.0,32.92415158730159
46.0,32.66211428571427
35.0,37.508942857142856
44.0,38.75478015873016
45.0,34.146973809523814
43.0,37.136179365079364
33.0,37.44120692640692
23.0,37.541327561327556
17.0,35.36357301587302
19.0,33.078078571428584
31.0,30.008464285714275
36.0,26.082978066378065
44.0,29.01693520923521
25.0,31.58286031746031
36.0,37.11816031746033
25.0,29.289649206349203
27.0,31.673168253968246
31.0,25.285042063492064
37.0,31.360952380952376
27.0,30.36462063492064
36.0,32.122312698412706
53.0,27.27082683982684
54.0,30.261340476190483
58.0,34.22784285714287
61.0,36.05342539682539
52.0,35.60727063492063
41.0,34.50075
47.0,34.949456349206315
37.0,34.978140476190454
44.0,40.09369920634921
54.0,35.649419841269825
46.0,40.77951269841266
39.0,40.509098412698414
42.0,37.80653095238093
55.0,37.01384444444443
53.0,38.553029365079354
48.0,37.430126767676754
48.0,36.09122200577199
47.0,35.561644227994215
43.0,36.296676984126975
44.0,36.57035555555554
32.0,36.523501587301574
39.0,36.89711248196248
43.0,36.38814365079367
51.0,33.77457619047619
42.0,36.01592676767677
32.0,36.97069444444444
40.0,37.886612698412684
50.0,36.92425833333334
45.0,35.81766904761906
51.0,38.01411904761907
50.0,39.2486722222222
57.0,38.80783809523811
52.0,39.21036666666664
54.0,36.38115634920635
48.0,35.55781031746031
67.0,35.74711031746032
47.0,35.05545396825396
50.0,37.15615634920636
40.0,35.0827738095238
58.0,38.37986904761905
46.0,38.98888333333333
62.0,39.95674603174603
47.0,37.82447142857141
41.0,37.947773015873025
46.0,37.29001587301588
67.0,35.90949025974024
43.0,38.6353222222222
41.0,38.12591190476188
43.0,36.90264025974023
40.0,36.83538787878787
47.0,37.53155772005771
40.0,35.626242640692645
48.0,37.121026767676746
36.0,37.60087301587301
28.0,38.66539365079363
54.0,35.78762341269843
49.0,34.04202301587302
49.0,34.64163412698412
45.0,36.02832936507936
44.0,37.279826984126984
47.0,37.55791984126983
42.0,39.79818968253969
40.0,42.39743888888889
47.0,40.991488888888874
57.0,39.104523015873006
62.0,40.79095793650793
55.0,39.72329206349205
42.0,37.53701587301586
44.0,35.36299444444443
42.0,35.31663412698411
42.0,39.21234444444445
47.0,39.89065714285716
40.0,39.59153412698413
35.0,40.892255555555536
51.0,38.074299206349195
54.0,33.97100714285712
49.0,37.70987222222223
46.0,35.33420952380951
44.0,33.92676803751802
49.0,35.37164740259738
46.0,35.095364069264065
39.0,37.601476984126975
52.0,36.627741269841266
52.0,36.29678333333333
44.0,36.912129365079366
48.0,35.71252063492063
51.0,35.581497402597385
48.0,38.10111031746032
61.0,39.01622698412697
59.0,37.08410555555555
43.0,37.92121031746033
49.0,36.5059619047619
51.0,36.17912142857141
33.0,37.75372063492063
36.0,38.35971746031745
43.0,36.687282539682535
59.0,35.81232777777776
55.0,39.07056031746031
59.0,37.82820952380951
44.0,37.73639126984126
