Aktual,Prediksi
51.0,40.05743386243387
47.0,38.24232105820106
24.0,40.84885714285715
17.0,38.46854761904761
35.0,38.79320502645502
59.0,39.01071587301588
31.0,39.39546825396825
40.0,40.784023809523816
45.0,45.71239682539683
33.0,44.385535714285716
46.0,39.97104365079366
30.0,35.9890925925926
31.0,44.310952380952386
31.5,42.410267857142856
32.0,43.05027777777777
53.0,40.17514980158731
43.0,33.57778174603175
31.0,41.76035317460317
49.0,45.26774783549783
40.0,43.17141567460317
55.0,45.57947222222223
53.0,46.26468217893218
29.0,44.25864285714285
28.0,44.49478571428571
25.0,41.02797282347283
24.0,39.29844444444445
54.0,35.735043650793656
33.0,36.1247619047619
36.0,40.47745238095238
52.0,40.91113492063492
41.0,37.9797619047619
35.0,37.89123544973546
33.0,37.870500000000014
18.0,39.928378402461725
18.0,36.50475943963445
22.0,35.982126984126985
17.0,36.37565851851852
27.0,27.741991322751314
56.0,32.4109628042328
42.0,31.932037037037038
30.0,36.276714285714284
40.0,43.965563492063495
35.0,43.13333068783068
32.0,36.553940476190476
21.0,30.061619047619057
26.0,30.65711375661376
18.0,28.01028714285714
21.0,27.453884920634913
23.0,36.53031957671959
40.0,32.602188095238105
31.0,31.167866666666665
59.0,48.93026911976912
54.0,44.3746798941799
42.0,43.209722222222226
51.0,49.001940476190484
56.0,50.186682539682536
63.0,52.30855952380952
65.0,45.1615
60.0,53.4107261904762
57.0,56.727550264550246
64.0,59.62343121693121
72.0,56.80169047619045
58.0,52.45783333333334
51.0,57.827148809523806
74.0,59.2899466089466
55.0,53.601388888888884
52.0,55.20543650793652
45.0,55.835031746031746
41.0,52.51399206349207
57.0,49.427293650793644
35.0,50.63313614163615
25.0,41.75932142857143
35.0,41.24578571428571
28.0,36.77809523809524
30.0,35.96710714285716
23.0,38.653555555555556
41.0,43.64119047619047
44.0,41.37719841269842
34.0,42.65450396825397
57.0,46.05471428571429
68.0,43.11195238095238
56.0,48.67371825396825
52.0,52.036502380952385
52.0,53.8102380952381
49.0,51.56375854700855
47.0,50.2268116883117
51.0,49.03029316979317
49.0,47.758133835300505
44.0,49.223488095238096
47.0,49.23587148962149
41.0,46.7219007936508
53.0,53.932017075517095
58.0,49.47098412698411
62.0,50.85209391534393
60.0,57.82545423280422
56.0,56.347111033302205
68.0,59.309115975422436
65.0,60.31398716964037
66.0,60.210444139194124
54.0,61.78994017094019
52.0,60.53875001541668
56.0,57.31156782106782
45.0,52.95432323232322
60.0,53.28228354978356
59.0,50.48698412698413
61.0,59.830095238095225
57.0,59.69199025974026
60.0,61.46125394856042
58.0,59.30786210026534
57.0,58.56913400488403
62.0,60.710180547273595
68.0,61.676248448127616
66.0,61.210026272578006
57.0,63.03698809523809
29.0,58.72745337440337
62.0,58.214701298701314
60.0,55.13832539682537
66.0,54.59422619047619
56.0,60.431615440115436
54.0,64.0738835978836
62.0,57.907017195767175
70.0,52.100796296296295
66.0,57.681199735449724
43.0,60.68005357142856
58.0,60.3783058922559
74.0,58.75083333333334
52.0,55.45475386650388
60.0,64.88110912698414
63.0,61.00633159324339
60.0,58.04710317460315
60.0,63.924206349206344
53.0,58.3741150596715
56.0,58.048506912083106
44.0,55.98608008658012
39.0,53.90612934842934
46.0,50.05150681858163
44.0,53.43842460317462
47.0,48.92779497354497
67.0,49.24642063492064
67.0,53.356565656565664
54.0,63.52262169312167
64.0,62.82015638528138
63.0,54.53364531953835
61.0,57.510902038593215
60.0,61.50588095238097
58.0,60.440689734996184
55.0,58.7716479887725
47.0,58.138862803648834
46.0,56.064679080179054
55.0,53.52095418470419
38.0,46.50772222222222
43.0,50.40291931216932
48.0,49.799600529100516
50.0,50.86571428571428
52.0,52.01894444444443
54.0,51.9763263107263
56.0,55.9450134920635
58.0,52.230515950824774
60.0,53.93873481888481
62.0,57.199526950210284
64.0,58.47581742640077
66.0,59.81570384641128
53.0,61.48591796536798
65.0,61.60532449094116
59.0,56.28152227342549
52.0,53.212904761904745
53.0,57.303368620925085
57.0,56.759891534391535
52.0,55.16949647030528
47.0,55.5650311965812
51.0,56.503141334919555
45.0,54.36950000000001
39.0,53.5589886039886
47.0,52.77582012364984
53.0,53.10180687830691
44.0,50.64706349206349
53.0,49.701297619047615
52.0,50.89118307848749
55.0,49.423665608465605
44.0,53.158824416433255
53.0,49.41965231990232
59.0,49.42265079365081
57.0,50.47995613275615
54.0,56.24340476190479
36.0,56.68419468685086
51.0,52.85071348880054
51.0,49.242371031746025
45.0,48.813520923520926
